sku,name,brand,category,price,stock quantity,key specs,description,vehicle compatibility,aisle location
BRK-001,Premium Ceramic Brake Pads (Front),StopSafe,brakes,89.99,12,Ceramic; front axle; low dust,Ceramic friction material that runs quieter than semi-metallic and produces less brake dust.,sedans/SUVs,Aisle 4
BRK-002,Semi-Metallic Brake Pads (Front),StopSafe,brakes,45.99,20,Semi-metallic; front axle; high heat,High heat tolerance for heavy braking situations. Ideal for towing and aggressive driving.,trucks/heavy-duty,Aisle 4
BRK-003,Brake Rotor Pair (Vented),RotorMax,brakes,134.5,6,Vented cast-iron; 300mm; pair,Vented cast-iron rotors for optimal heat dissipation and warp resistance. Sold as a pair.,sedans/SUVs,Aisle 4
BRK-004,Brake Caliper Assembly (Front Right),OEM-Match,brakes,115.0,3,Single piston; cast aluminum,Pre-lubricated caliper assembly with new hardware and bleeder screw included.,trucks/heavy-duty,Aisle 4
BAT-001,12V Standard Lead-Acid Battery (Group 35),VoltMaster,batteries,129.99,8,600 CCA; 75 RC; lead-acid; Group 35,Standard 12-volt lead-acid replacement battery for most passenger vehicles.,sedans/SUVs,Aisle 1
BAT-002,12V AGM Premium Battery (Group 48),VoltMaster,batteries,210.5,0,760 CCA; 120 RC; AGM; Group 48,Absorbed Glass Mat technology for extreme cold and high electrical loads. 3-year warranty.,universal,Aisle 1
FLD-001,5W-30 Full Synthetic Motor Oil (5 Qt),LubePro,fluids,32.99,45,5W-30; full synthetic; 5 quart,Formulated for high-mileage engines. Protects against sludge and engine wear.,universal,Aisle 2
FLD-002,DOT 3 Brake Fluid (32 oz),StopSafe,fluids,12.5,30,DOT 3; 32 oz; high temp,Meets DOT 3 specifications. Resists moisture buildup and prevents vapor lock.,universal,Aisle 2
FLD-003,50/50 Premixed Antifreeze/Coolant (1 Gal),FrostGuard,fluids,18.99,25,50/50 mix; ethylene glycol; 1 gallon,Protects engines from freezing down to -34F and boil-over up to 265F.,universal,Aisle 2
FLD-004,Winter Formula Washer Fluid (1 Gal),ClearView,fluids,5.99,50,De-icer; -20F rating; 1 gallon,Melts light ice and frost on contact. Will not freeze in the reservoir down to -20F.,universal,Aisle 2
FLD-005,Brake Cleaner Spray (14 oz),ChemBlast,fluids,8.99,60,Aerosol; fast-drying; 14 oz,Fast-acting formula that removes brake dust and grease from brake components.,universal,Aisle 2
LGT-001,H11 Halogen Headlight Bulb (2-Pack),BrightWay,lighting,24.99,15,H11; halogen; 55W; pair,Standard OEM replacement halogen headlight bulbs. DOT compliant.,sedans/SUVs,Aisle 6
LGT-002,H11 LED Headlight Conversion Kit,BrightWay,lighting,65.0,8,H11; LED; 6000K white; pair,High-intensity LED bulbs with built-in cooling fans for maximum nighttime visibility.,sedans/SUVs,Aisle 6
LGT-003,3157 Red LED Tail Light Bulb (2-Pack),LumenX,lighting,19.99,22,3157; LED; red; pair,Instant-on LED technology for faster brake light illumination and improved safety.,universal,Aisle 6
LGT-004,LED Fog Light Kit H8 (Pair),BrightWay,lighting,29.99,0,H8; LED; 3000K amber; pair,Amber LED fog lights for improved visibility in rain and fog. Plug-and-play installation.,universal,Aisle 6
WIP-001,22-Inch All-Season Wiper Blade,ClearView,wipers,18.99,35,22 inch; standard frame; natural rubber,Natural rubber blade with steel frame. Clears rain and light debris effectively.,universal,Aisle 5
WIP-002,22-Inch Winter Armor Wiper Blade,ClearView,wipers,26.99,18,22 inch; enclosed frame; synthetic blend,Synthetic blend blade in a protective boot to prevent ice and snow buildup.,universal,Aisle 5
WIP-003,24-Inch Silicone Wiper Blade,RainShield,wipers,32.5,12,24 inch; beam style; silicone,Premium silicone rubber lasts 2x longer and leaves a water-repellent coating on glass.,trucks/heavy-duty,Aisle 5
WIP-004,18-Inch Rear Wiper Blade,ClearView,wipers,14.99,20,18 inch; exact fit; rear,Direct-fit replacement for rear hatch windshields on SUVs and hatchbacks.,universal,Aisle 5
FIL-001,Extended Life Oil Filter,PureFlow,filters,12.99,40,Spin-on; 99% efficiency; 10000 mile,Synthetic blend media captures microscopic contaminants. Rated for 10000 miles.,sedans/SUVs,Aisle 3
FIL-002,Heavy-Duty Oil Filter,ToughGuard,filters,16.99,25,Spin-on; high capacity,Larger casing holds more contaminants. Designed for towing and extreme payload conditions.,trucks/heavy-duty,Aisle 3
FIL-003,Engine Air Filter,PureFlow,filters,22.5,30,Pleated paper; panel style,Protects engine from airborne dust and debris. Improves acceleration when replaced.,sedans/SUVs,Aisle 3
FIL-004,HEPA Cabin Air Filter,PureFlow,filters,28.99,15,HEPA; activated carbon,Blocks pollen and exhaust odors from entering the vehicle interior.,sedans/SUVs,Aisle 3
ELC-001,Iridium Spark Plugs (4-Pack),IgnitePro,electrical,29.99,16,Iridium; 4 pack; pre-gapped 0.044in,Long-life iridium spark plugs for consistent ignition and improved fuel economy.,sedans/SUVs,Aisle 7
ELC-002,Alternator 150A Remanufactured,IgnitePro,electrical,159.99,2,150A output; remanufactured; includes pulley,Remanufactured alternator tested to OE specifications. Includes mounting hardware and pulley.,sedans/SUVs,Aisle 7
ELC-003,Portable Jump Starter 2000A,VoltMaster,electrical,79.99,12,2000A peak; 20000mAh; USB-C,Compact portable jump starter that fits in your glovebox. Also charges phones and tablets.,universal,Aisle 7
TIR-001,All-Season Tires 205/55R16 (Set of 4),RoadGrip,tires,399.99,0,205/55R16; all-season; 50000 mile warranty; set of 4,Balanced all-season tires with good wet and dry traction. 50000-mile treadwear warranty.,sedans/SUVs,Aisle 8
TIR-002,All-Terrain Tires 265/70R17 (Set of 4),RoadGrip,tires,599.99,4,265/70R17; all-terrain; 40000 mile warranty; set of 4,Aggressive all-terrain tires for on and off-road capability. Reinforced sidewalls.,trucks/heavy-duty,Aisle 8
TLS-001,OBD2 Diagnostic Code Scanner,MechTech,accessories,45.0,10,Reads/clears codes; universal OBD2,Plugs into vehicle port to read engine fault codes and turn off the check engine light.,universal,Aisle 9
TLS-002,4-Gauge Jumper Cables (20 ft),VoltMaster,accessories,35.99,18,4-AWG; 400 Amp; 20 ft,Heavy-duty copper-clad aluminum cables for jump-starting dead batteries.,universal,Aisle 9
